,5f71dc92282990157f986a94,609aecaba5c7541d9625d1ee,609aed5ea5c7541d9625f903,60be6761767a8917d29b7c54,60cb9129767a8917d25ce5a1,60cbc8df767a8917d2604f9d,60cbcc3b767a8917d2608dbc,60d0d04d767a8917d2af91ee,60d0d156767a8917d2afae03,60dcc790767a8917d27f734b,60e4c9db33db984fa2ca59bf,60e4ca3c33db984fa2ca6c7a,6111815a645c245c3fb03ee4,6111affc645c245c3fb76128,6111b033645c245c3fb77377,6111b4ec645c245c3fb825c0,6111b533645c245c3fb83a6f,6111b569645c245c3fb84d42,612b605b63812205431c3e91,613f8ee57bbb997559359f52,618b033e9cf248533e844d94,618b038e9cf248533e845a18,61b0f4f7b36a1f7b3bab1c60,6226415ff9afe9370ed3748b,6241e35a09320802c998d5c1,6241e5a509320802c9997d56,6241e64b09320802c999acac,6257409af6e87b02c9451a51,628be5deb11bd21b97b88cb5,628d1b9c480021215ea94ac2,6291244301034f32ae699bf8,629511c2522b8b29ab661d0b,62951c5e522b8b29ab6742e7,629a898e8a1eea6911a0e4bd,629a89ff8a1eea6911a0f046,62a378952a535e537bbd2b90,62b607d9ac45b919dca8d330,62b60b03ac45b919dca94675,62b60b5cac45b919dca95367,62c424675b50546d39af92e7,62c424ef5b50546d39afa6ea,62c426e55b50546d39aff221,62c464065499df2cfc41c652,62c84598f38c1514925e24ee,62cf6d4df81cad490ccd9fb4,62f14a3012dfba21456a270a,62fc074ba8cd540911bd9eed,62fd58f5a8cd540911f6f101,62fd5985a8cd540911f70b1e,62fea89f86c45b24f593d1bb,630f5f63799d8e6c4870ce3d,630f5fdc799d8e6c4870e3f0,631b58549a461d048342a1d2,63568db3f565e27a27c02860,6356ae81f565e27a27c762be
2023-04-01 00:00:00,0.0,0.0833333333333333,0.0,0.0833333333333333,0.3370646766169153,0.0,0.0,0.0,0.0,0.3333333333333332,0.0,0.0833333333333333,0.083816056910569,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0992907801418439,0.0878995433789954,0.9999999999999996,0.9999999999999996,0.0,0.0,0.0833333333333333,0.0,0.0,0.2857981220657276,0.0833333333333333,0.1121794871794871,0.4166666666666665,0.0947712418300653,0.1675824175824175,0.0,0.0,0.0,0.0887096774193548,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0,0.0,0.0,0.0833333333333333,0.2137681159420289,0.0845588235294117,0.1504065040650405,0.2074074074074073,0.1232222871615039,0.5833333333333331,0.5833333333333331,0.0833333333333333,0.0,0.0
2023-04-01 01:00:00,0.0,0.0833333333333333,0.0,0.0833333333333333,0.3407960199004974,0.0,0.0,0.1666666666666666,0.0,0.1666666666666666,0.0,0.0833333333333333,0.0838414634146341,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.1072695035460992,0.0890410958904109,0.6666666666666666,1.4999999999999996,0.0,0.25,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.288732394366197,0.0833333333333333,0.1025641025641025,0.6666666666666664,0.0931372549019607,0.1712454212454212,0.0,0.0,0.0,0.0913978494623655,0.0833333333333333,0.0,0.0,0.0833333333333333,0.0,0.0,0.0,0.0833333333333333,0.2132740447957838,0.0857843137254901,0.1497289972899728,0.2092592592592591,0.1231735827001752,0.0,0.2499999999999999,0.0833333333333333,0.0833333333333333,0.0
2023-04-01 02:00:00,0.3333333333333332,0.0833333333333333,0.0,0.0833333333333333,0.3445273631840794,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0833333333333333,0.0838668699186991,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.1152482269503545,0.0901826484018264,0.1666666666666666,1.1666666666666663,0.0,0.0,0.0833333333333333,0.0,0.0,0.2916666666666665,0.0833333333333333,0.0929487179487179,0.5833333333333331,0.0915032679738561,0.1749084249084248,0.0,0.0,0.0,0.0940860215053763,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0,0.0,0.0,0.0833333333333333,0.2127799736495388,0.0870098039215686,0.1490514905149051,0.211111111111111,0.1231248782388466,0.0833333333333333,0.2499999999999999,0.0833333333333333,0.0,0.0
2023-04-01 03:00:00,0.0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.3482587064676615,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,0.0838922764227642,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.1232269503546098,0.0913242009132419,0.1666666666666666,1.8333333333333328,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0,0.294600938967136,0.0833333333333333,0.0833333333333333,0.4166666666666665,0.0898692810457515,0.1785714285714285,0.0,0.0,0.0,0.096774193548387,0.0833333333333333,0.4166666666666665,0.3333333333333332,0.0833333333333333,0.0,0.0,0.0,0.0833333333333333,0.2122859025032937,0.088235294117647,0.1483739837398373,0.2129629629629628,0.1230761737775179,0.0,0.4166666666666665,0.0943627450980391,0.0,0.0
2023-04-01 04:00:00,0.0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.3519900497512436,0.0,0.0833333333333333,0.0,0.0833333333333333,0.0,0.0,0.0833333333333333,0.0839176829268292,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.1312056737588652,0.0924657534246575,0.1666666666666666,1.666666666666666,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0,0.2975352112676055,0.0833333333333333,0.0833333333333333,0.833333333333333,0.088235294117647,0.1822344322344321,0.0,0.0,0.0,0.0994623655913978,0.0833333333333333,0.4117647058823528,0.0,0.0833333333333333,0.0,0.0,0.0,0.0833333333333333,0.2117918313570486,0.0894607843137254,0.1476964769647696,0.2148148148148147,0.1230274693161893,0.0,0.7499999999999998,0.105392156862745,0.0,0.0
2023-04-01 05:00:00,0.0,0.0833333333333333,0.0,0.0833333333333333,0.3557213930348257,0.0,0.5833333333333331,0.0,0.0,0.0,0.0,0.0833333333333333,0.0839430894308942,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.1391843971631205,0.093607305936073,0.1666666666666666,1.9999999999999991,0.0,0.0,0.0833333333333333,0.0,0.0,0.3004694835680749,0.0833333333333333,0.0833333333333333,0.6666666666666664,0.0866013071895424,0.1858974358974358,0.0,0.0,0.0,0.1021505376344085,0.0833333333333333,0.406862745098039,0.0833333333333333,0.0833333333333333,0.0,0.0,0.0,0.0833333333333333,0.2112977602108036,0.0906862745098038,0.1470189701897018,0.2166666666666665,0.1229787648548606,0.0,0.2499999999999999,0.1164215686274509,0.0,0.0
2023-04-01 06:00:00,0.0,0.0833333333333333,0.0,0.0833333333333333,0.3594527363184078,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.0833333333333333,0.0839684959349593,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.1471631205673758,0.0947488584474885,0.1666666666666666,1.8333333333333328,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0,0.3034037558685444,0.0833333333333333,0.0833333333333333,0.833333333333333,0.0849673202614378,0.1895604395604395,0.0,0.0,0.0,0.1048387096774193,0.0833333333333333,0.4019607843137253,0.0900383141762451,0.0833333333333333,0.0,0.0,0.0,0.0833333333333333,0.2108036890645585,0.0919117647058823,0.146341463414634,0.2185185185185184,0.1229300603935319,0.0,0.2526881720430106,0.1274509803921568,0.0833333333333333,0.0
2023-04-01 07:00:00,1.1666666666666663,0.0833333333333333,0.0,0.0833333333333333,0.3631840796019899,0.0,0.0,0.0,0.0,1.8333333333333328,0.0,0.0833333333333333,0.0839939024390243,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.1551418439716311,0.095890410958904,0.1666666666666666,1.666666666666666,0.0,0.0,0.0833333333333333,0.0,0.0,0.3063380281690139,0.0833333333333333,0.0833333333333333,0.833333333333333,0.0833333333333333,0.1932234432234431,0.0,0.0,0.0,0.10752688172043,0.0833333333333333,0.3970588235294116,0.096743295019157,0.0833333333333333,0.0,0.0,0.0,0.0833333333333333,0.2103096179183134,0.0931372549019607,0.1456639566395663,0.2203703703703702,0.1228813559322033,0.0,0.2553763440860214,0.1384803921568627,0.0,0.0
2023-04-01 08:00:00,1.666666666666666,0.0833333333333333,0.0,0.0833333333333333,0.366915422885572,0.0,0.0,0.0,0.0,1.4999999999999991,0.0,0.0833333333333333,0.0840193089430894,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.1631205673758864,0.0970319634703196,0.1666666666666666,0.0,0.0,0.0,0.0833333333333333,0.0,0.0,0.3092723004694834,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.1968864468864468,0.0,0.0,0.0,0.1102150537634408,0.0833333333333333,0.3921568627450979,0.1034482758620689,0.0833333333333333,0.0,0.0,0.0,0.0833333333333333,0.2098155467720684,0.0943627450980391,0.1449864498644986,0.2222222222222221,0.1228326514708746,0.0,0.2580645161290321,0.1495098039215685,0.0833333333333333,0.0
2023-04-01 09:00:00,0.9999999999999996,0.0833333333333333,0.0,0.0833333333333333,0.3706467661691541,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,0.0840447154471544,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.1710992907801418,0.0981735159817351,0.1666666666666666,0.3333333333333332,0.0,0.0,0.0833333333333333,0.0,0.0,0.3122065727699529,0.0833333333333333,0.0833333333333333,0.2499999999999999,0.0833333333333333,0.2005494505494504,0.0,0.0,0.0,0.1129032258064515,0.0833333333333333,0.3872549019607841,0.1101532567049808,0.0833333333333333,0.0,0.0,0.0,0.0833333333333333,0.2093214756258233,0.0955882352941176,0.1443089430894308,0.2240740740740739,0.122783947009546,0.0,0.2607526881720429,0.1605392156862744,0.0,0.0
