charger_id,longitude,latitude,site,total_duration,total_volume,avg_power
1004881835,4.91285991669,52.3681411743,493,4879.499999999999,31228.800000000003,6.400000000000004
1004881875,4.87989616394,52.3663749695,496,0.0,0.0,0.0
1004889415,4.87993478775,52.3663024902,496,0.0,0.0,0.0
1004891365,4.8799161911,52.3663368225,496,0.0,0.0,0.0
1004891625,4.8803319931,52.3662986755,496,1357.367248062015,8687.150387596897,6.400000000000004
1004893175,4.88040208817,52.3662109375,496,0.0,0.0,0.0
1004881885,4.87291097641,52.3348274231,497,9811.056685042942,62790.76278427483,6.400000000000001
1004894295,4.87288188934,52.3348312378,497,0.0,0.0,0.0
1004881955,4.87670612335,52.3753890991,501,5275.333333333333,33762.13333333334,6.400000000000004
1004911235,4.87684106827,52.3753585815,501,0.0,0.0,0.0
1004881985,4.94019985199,52.3552780151,504,9811.056685042942,62790.76278427483,6.400000000000001
1004881995,4.87723398209,52.356678009,505,9811.056685042942,62790.76278427483,6.400000000000001
1004901215,4.87729215622,52.3565559387,505,1113.4999999999995,7244.0,6.490932669733677
1009485985,4.87723398209,52.356678009,505,0.0,0.0,0.0
1004882005,4.93807220459,52.3516197205,506,9811.056685042942,62790.76278427483,6.400000000000001
1004882015,4.90927219391,52.3670463562,507,5391.083333333332,34502.93333333334,6.400000000000004
1004882075,4.91252183914,52.342792511,511,9811.056685042942,62790.76278427483,6.400000000000001
1004882095,4.94528198242,52.3443031311,512,9002.637181837505,57665.881885328665,6.440915764170028
1004882105,4.87504720688,52.3776092529,513,5828.504385964911,37302.42807017544,6.400000000000004
1004882115,5.00605106354,52.3534622192,514,8389.113003478544,53829.59115360866,6.404732568163645
1009471375,5.00605106354,52.3534622192,514,0.0,0.0,0.0
1009566755,5.00634002686,52.3534011841,514,75826.66666666666,485290.6666666668,6.400000000000001
1004882135,4.94264984131,52.3584518433,515,9811.056685042942,62790.76278427483,6.400000000000001
1004908725,4.94258308411,52.358455658,515,9811.056685042942,62790.76278427483,6.400000000000001
1009556605,4.94259977341,52.3586997986,515,75826.66666666666,485290.6666666668,6.400000000000001
1004882155,4.80233478546,52.3428916931,516,9811.056685042942,62790.76278427483,6.400000000000001
1004882175,4.92048978806,52.3477516174,517,0.0,0.0,0.0
1004902315,4.92054510117,52.3477706909,517,8389.113003478544,53829.59115360866,6.404732568163645
1004882185,4.86091279984,52.3738441467,518,1582.8708333333327,10166.106666666668,6.416630689321381
1004903295,4.86081409454,52.3739242554,518,9811.056685042942,62790.76278427483,6.400000000000001
1009467815,4.86081409454,52.3739242554,518,9811.056685042942,62790.76278427483,6.400000000000001
1004882235,4.8315911293,52.361000061,521,9811.056685042942,62790.76278427483,6.400000000000001
1004882265,4.80629014969,52.3487854004,522,9811.056685042942,62790.76278427483,6.400000000000001
1009572305,4.80630016327,52.3487205505,522,68416.58333333334,437866.1333333333,6.4
1004882275,4.96606397629,52.3028106689,523,9811.056685042942,62790.76278427483,6.400000000000001
1004882335,4.90135478973,52.3401679993,525,9811.056685042942,62790.76278427483,6.400000000000001
1004892175,4.90131998062,52.3398323059,525,5457.499999999998,34928.00000000001,6.400000000000004
1004882355,4.85246610641,52.377532959,526,5041.749999999999,32267.200000000008,6.400000000000004
1004882365,4.9231710434,52.3451423645,527,5974.965709728867,38239.78054226475,6.400000000000001
1004882385,4.80383205414,52.3619613647,528,9811.056685042942,62790.76278427483,6.400000000000001
1004882425,4.97258710861,52.3219718933,531,8389.113003478544,53829.59115360866,6.404732568163645
1004882455,4.88500118256,52.3531646729,532,9811.056685042942,62790.76278427483,6.400000000000001
1004882465,4.86634922028,52.3681297302,533,9811.056685042942,62790.76278427483,6.400000000000001
1009459735,4.86634922028,52.3681297302,533,11309.688095238093,72382.00380952384,6.400000000000004
1004882515,4.80281305313,52.3832321167,534,8389.113003478544,53829.59115360866,6.404732568163645
1004882585,4.78366279602,52.3566741943,538,9811.056685042942,62790.76278427483,6.400000000000001
1004882595,4.93506193161,52.3682136536,539,673.4999999999998,4308.8,6.625771697885357
