site_id,longitude,latitude,charger_num,total_duration,total_volume,avg_power,perimeter,area
0,4.83527612686,52.4058876038,1,0.0,0.0,0.0,399.4621751996469,11599.803390974896
1,4.85857105255,52.40990448,1,0.0,0.0,0.0,399.4868279780197,11600.859748248642
2,4.8770866394,52.3399124146,1,0.0,0.0,0.0,399.058149757742,11582.488874219123
3,4.90861797333,52.3696327209,2,0.0,0.0,0.0,399.2399478477399,11590.280361986152
4,4.94516992569,52.305103302,1,0.0,0.0,0.0,398.8456520550316,11573.380568613587
5,4.92767095566,52.334728241,1,0.0,0.0,0.0,399.0264728898987,11581.131181147335
6,4.82937288284,52.3409729004,1,0.0,0.0,0.0,399.0646309112204,11582.76665783452
7,4.94751834869,52.2976303101,1,0.0,0.0,0.0,398.8000921511874,11571.427576879152
8,4.9076628685,52.3639755249,1,75826.66666666666,485290.6666666668,6.400000000000001,399.2053169663893,11588.796221117524
9,4.84885756175,52.39232508343333,3,5470.751096491227,35012.80701754386,2.133333333333334,551.9200461768713,19046.517843306137
10,4.91740465164,52.3773880005,1,9210.302083333334,34078.11770833334,3.7000000000000015,399.2874421685556,11592.315727413825
11,4.90323893229,52.3937416077,3,0.0,0.0,0.0,405.8845364639398,12100.26161819162
12,4.869741916655,52.399629592850005,2,0.0,0.0,0.0,504.8036719743973,16477.18888996318
13,4.895708560945,52.374334335300006,2,0.0,0.0,0.0,463.6433790818083,15467.228165719682
14,4.894750118255555,52.38472154406668,9,345961.125,2799032.416666667,7.673388863245538,470.1690191151984,15467.526765514654
15,4.838341554003333,52.40185674033333,3,0.0,0.0,0.0,400.8455468933155,11666.816437080386
16,4.87247610092,52.3807067871,1,0.0,0.0,0.0,399.30777387255125,11593.18702300626
17,4.909200668335,52.376218795750006,4,75826.66666666666,280558.6666666666,0.9250000000000002,441.2412058564285,13588.782723059849
18,4.89013719559,52.40577316280001,6,278870.0416666666,622514.05,2.3585415705040886,399.4614729311367,11599.773298939324
19,4.83870887756,52.4014053345,2,80836.5,177586.27500000002,1.2655188067630974,399.434673468138,11598.624939018524
20,4.84251499176,52.3795394897,1,0.0,0.0,0.0,399.3006222407178,11592.880547935052
21,4.95426416397,52.3143920898,3,0.0,0.0,0.0,398.902311774324,11575.809294230889
22,4.88891220093,52.3357391357,2,0.0,0.0,0.0,399.032648957686,11581.395893866442
23,4.86433076859,52.3846893311,1,0.0,0.0,0.0,399.3321774849232,11594.232802037532
24,4.874947865803333,52.33617401123333,3,8831.03787713853,112154.18103965934,4.233333333333333,495.598022596807,16563.20705981872
25,4.879843997951999,52.35710983276,10,527697.6249999999,13034131.3375,22.23,504.326563093332,17004.23713597866
26,4.85271883011,52.3915596008,1,0.0,0.0,0.0,399.37429032676505,11596.03744612998
27,4.86893892288,52.3926620483,1,81297.83333333334,179293.20833333334,2.5310376135261947,399.3810497078025,11596.32709875786
28,4.918839097026249,52.3773388862375,8,85724.79166666667,239667.5791666667,1.9038797016907743,422.7842023164071,13377.34481528724
29,4.90697288513,52.3765830994,1,0.0,0.0,0.0,399.28251178077016,11592.104438765797
30,4.94691419601,52.301433563200014,13,152463.2809715682,1936693.497461665,10.780153490492214,398.8232764418645,11572.421412128975
31,4.884865113666429,52.33784321374287,14,697759.8173593275,8861549.680463457,9.071428571428571,575.2700974065599,23499.025604483384
32,4.94638490677,52.2937850952,1,0.0,0.0,0.0,398.77665765697697,11570.423001888705
33,4.91761922836,52.3464851379,2,127255.125,3138344.5875000004,24.250521521246178,399.0983258282752,11584.210811380006
34,4.8381319046,52.3855400085,2,5665.639355023984,71953.61980880461,12.700000000000001,399.3373909205128,11594.45621372498
35,4.89528417587,52.3838691711,1,0.0,0.0,0.0,399.32715133943407,11594.017415619352
36,4.87885856628,52.364223480199996,2,64836.33333333332,129672.66666666666,2.0000000000000004,405.7852133173079,12069.40679948448
37,4.94992017746,52.3143043518,6,0.0,0.0,0.0,398.9017764374285,11575.786347341373
38,4.85079073906,52.4097480774,2,9196.385416666666,34026.62604166668,1.8500000000000008,405.9827481791596,12104.652052838428
39,4.85024309158,52.3863258362,1,0.0,0.0,0.0,399.3422071668687,11594.662604014824
40,4.95041179657,52.313747406,1,0.0,0.0,0.0,398.8983782742632,11575.640686989069
41,4.99089002609,52.3563995361,1,0.0,0.0,0.0,399.158959240266,11586.809465565688
42,4.949661016465,52.313310623199996,2,0.0,0.0,0.0,492.2264198008454,17171.876081092138
43,4.82124376297,52.3917808533,1,0.0,0.0,0.0,399.3756468440168,11596.095575613675
44,4.87142992019625,52.398621559149994,8,0.0,0.0,0.0,534.9328015645439,19631.68928345949
45,4.9532920718212505,52.303773403150004,8,0.0,0.0,0.0,721.5491202921498,33446.7863984057
46,4.953748975481429,52.30281339374286,7,75826.66666666666,561117.3333333333,1.0571428571428574,584.9681735030975,23221.809556501878
47,4.95374488831,52.3131446838,1,0.0,0.0,0.0,398.8947009424149,11575.483059894324
48,4.94863152504,52.31422805785,2,0.0,0.0,0.0,483.9292597471317,15627.290111122578
49,4.9209891557675,52.4047355652,4,18392.5625,68052.48125000001,1.8500000000000008,420.71410400641753,12885.847736935048
50,4.951932787894999,52.29669952389999,8,0.0,0.0,0.0,444.6978600422895,15121.935705160457
51,4.95367097855,52.3047904968,1,0.0,0.0,0.0,398.8437445777751,11573.298802922132
52,4.95297193527,52.3031959534,1,0.0,0.0,0.0,398.8340216797647,11572.88202079869
53,4.95410108566,52.3035087585,1,0.0,0.0,0.0,398.8359289662786,11572.963778798772
54,4.90040493011,52.3923492432,1,0.0,0.0,0.0,399.37913177454647,11596.244911722732
55,4.83955621719,52.397518158,1,0.0,0.0,0.0,399.4108292704102,11597.603196794173
56,4.854908148446666,52.335328419999996,3,75826.66666666666,280558.6666666666,1.2333333333333336,433.0758770792654,13337.24791372011
57,4.77356449763,52.35589599606667,3,3012.249999999999,150612.49999999997,16.666666666666668,510.0532738818624,17047.402422257645
58,4.95250635147,52.302429199200006,5,0.0,0.0,0.0,438.2360469934529,14619.568731153342
59,4.8488753182542865,52.38571929929999,7,0.0,0.0,0.0,438.8521735755284,14657.099228316329
60,4.88962674141,52.33421325685,2,0.0,0.0,0.0,439.3505520771201,13587.555087834184
61,4.824584166208334,52.3884684245,6,0.0,0.0,0.0,497.5267332098823,18001.845203437344
62,4.835046768188334,52.3912531535,6,0.0,0.0,0.0,574.1324321153163,23112.03176924736
63,4.8433053493500005,52.38646380108333,6,8235.200090777049,104587.04115286854,6.350000000000001,513.8683547863504,19649.286258980792
64,4.94659042358,52.3059768677,1,0.0,0.0,0.0,398.85097923016366,11573.608922191615
65,4.833852767945,52.3396072388,2,0.0,0.0,0.0,405.6596066165969,12093.68248976061
66,4.834756851194999,52.3906440735,2,0.0,0.0,0.0,405.9720482706944,12107.661443921905
67,4.854749917985,52.336391449,2,9197.052083333334,34029.09270833334,1.8500000000000008,412.13676403824377,12594.943632545075
68,4.83486866951,52.3574104309,2,0.0,0.0,0.0,405.6619743048784,12090.31103736602
69,4.98074197769,52.2971992493,1,0.0,0.0,0.0,398.7974647906725,11571.314949577823
70,4.84956232707,52.3930091858,3,0.0,0.0,0.0,405.986549151777,12108.350238900097
71,4.842748165130001,52.3854446411,4,121149.58333333333,775357.3333333335,3.2000000000000006,419.1469019368313,13129.843708457884
72,5.02252483368,52.3113975525,1,0.0,0.0,0.0,398.88404211943634,11575.026172468986
73,4.858798503875001,52.3407077789,2,75826.66666666666,962998.6666666664,6.349999999999999,479.6805734880219,16485.830768610216
74,4.91693019867,52.3493843079,1,0.0,0.0,0.0,399.11605237790326,11584.970553813608
75,4.933354854585,52.3372612,2,0.0,0.0,0.0,405.645268362238,12093.04091784626
76,4.75624752045,52.4098854065,1,0.0,0.0,0.0,399.4867109048768,11600.854731741574
77,4.87296485901,52.4124603271,1,0.0,0.0,0.0,399.5025172044733,11601.53201425254
78,4.807226753235,52.40663909909999,10,245873.56249999997,1819465.595833333,3.7003387841922146,471.7845026181968,17206.07882829266
79,4.824489752453332,52.414037068666666,3,0.0,0.0,0.0,414.8884509181645,12502.290306769606
80,4.99991512299,52.350894928,1,0.0,0.0,0.0,399.1252901136273,11585.366470782268
81,4.89432382584,52.3850288391,1,0.0,0.0,0.0,399.3342581494149,11594.321964961657
82,4.929809331894999,52.372400283812496,8,114738.10061379356,2834000.2101607006,18.52397795293775,545.750264764691,21475.394963088173
83,4.8732509613,52.3372612,1,0.0,0.0,0.0,399.0419487539701,11581.794490973469
84,4.91676712036,52.3444404602,4,83307.91666666667,1058010.5416666665,6.349999999999999,399.08582587647726,11583.67507082696
85,4.94881010056,52.3691711426,4,12697.188120363797,161254.2891286202,6.35,399.2371218063612,11590.15925036374
86,4.951644420625,52.299459457400005,2,0.0,0.0,0.0,419.2591951623506,12704.014724481322
87,4.95163583755,52.298248291,1,0.0,0.0,0.0,398.8038589340592,11571.589047579324
88,4.95332193375,52.3233261108,3,151653.33333333326,1925997.3333333328,4.2333333333333325,398.9568384800388,11578.146508527156
89,4.8434047699,52.3856048584,1,0.0,0.0,0.0,399.3377883674315,11594.473245540004
90,4.92226934433,52.3625411987,1,0.0,0.0,0.0,399.1965385939732,11588.420010251324
91,4.94148015976,52.3351707458,1,4826.166666666665,30887.466666666664,6.400000000000002,399.02917632740485,11581.247053463114
92,4.95618486404,52.3394165039,1,75826.66666666666,485290.6666666668,6.400000000000001,399.0551191506299,11582.35898137538
93,4.855188210803333,52.343620300299996,3,33427.666666666664,424531.36666666664,4.233333333333333,425.38760485267744,13618.771564385754
94,4.95080804825,52.3145256042,1,75826.66666666666,1872918.666666666,24.699999999999992,398.9031264249539,11575.844213706425
95,4.95684909821,52.3156166077,1,0.0,0.0,0.0,398.9097835358255,11576.12956590366
96,4.87983798981,52.3619728088,2,8638.771764534033,213377.6625839906,24.700000000000003,399.1930601495063,11588.270935512352
97,4.89516210556,52.3738822937,2,4985.916666666665,123152.14166666665,24.7,399.2659699228829,11591.395543296469
98,4.8800637722,52.3266677856,2,55467.04166666667,704431.4291666666,12.7,405.4740430396789,12081.90778598195
99,4.8942475318900005,52.3763771057,2,57599.45833333333,347781.05833333347,5.740683915166694,479.95461066826255,17255.79483250049
100,4.87557888031,52.39635849,1,0.0,0.0,0.0,399.4037169113733,11597.29842384146
101,4.95441198349,52.3700714111,1,3056.7037037037035,38820.13703703703,12.700000000000001,399.2426338279327,11590.395471026435
102,5.00192213058,52.353969574,1,0.0,0.0,0.0,399.1440948653655,11586.1724103682
103,4.94558811188,52.3690605164,1,2570.7004662004647,32647.89592074592,12.700000000000001,399.2364445053989,11590.130224199873
104,4.91462516785,52.332408905,1,32418.16666666666,118231.06666666667,3.3072862599000925,399.0123043633589,11580.523899532434
105,4.82403182983,52.4144172668,1,0.0,0.0,0.0,399.51453169651415,11602.046817589217
106,4.91137313843,52.3922233582,1,0.0,0.0,0.0,399.3783599335128,11596.21183683419
107,4.86623907089,52.3847084045,1,75826.66666666666,1872918.666666666,24.699999999999992,399.33229437406186,11594.237811113022
108,4.84526109695,52.3792648315,1,32418.16666666666,800728.7166666667,24.699999999999996,399.2989395802277,11592.808439247385
109,4.94456100464,52.3648834229,1,65969.875,653101.7625,9.900000000000002,399.2108738971817,11589.034371017658
110,4.871924877166666,52.38415527343333,3,34556.041666666664,342104.81250000006,3.300000000000001,531.7699856022884,18458.123933062656
111,4.94199419022,52.3612518311,1,9252.757291666667,91466.99718749999,9.919887496491748,399.18864806789816,11588.081847715086
112,4.93515205383,52.3602142334,1,9782.722787577264,96848.95559701492,9.900000000000002,399.18229875737416,11587.809735529829
113,4.89688587189,52.3451423645,1,60167.0,595653.3,9.900000000000002,399.0901167244096,11583.858974515872
114,4.943434000015,52.3632392883,2,33597.875,332618.96249999997,4.949999999999999,517.3855302077034,17189.130740858247
115,4.91126918793,52.3599777222,1,36002.87499999999,356428.4625,9.900000000000002,399.1808515458807,11587.747712275072
116,4.94870519638,52.3244934082,1,0.0,0.0,0.0,398.9639650517186,11578.451973758722
117,4.880113442736667,52.34989674886666,3,113293.66666666666,1102905.6333333335,5.433333333333336,579.420010488105,22190.47294598217
118,4.91860103607,52.3726577759,1,0.0,0.0,0.0,399.2584709328057,11591.074174376728
119,4.91802120209,52.3699836731,1,34561.208333333336,342155.9625,9.900000000000002,399.2420966263957,11590.372449007273
120,4.94612534841,52.351710001633336,3,8389.113003478544,53829.591153608664,2.1349108560545482,524.8190448606191,18271.53640914673
121,4.856672286986667,52.36612065633333,3,36001.20833333333,356411.9625,3.3000000000000007,627.1997350161566,22941.656372257534
122,4.8230919838,52.3570327759,1,3381.4705188679236,33476.55813679245,9.900000000000006,399.16283321449225,11586.975494843307
123,4.85112905502,52.3593673706,1,0.0,0.0,0.0,399.1771169038904,11587.587656218046
124,4.91754817963,52.3525924683,1,56646.375,560799.1125,9.900000000000002,399.13567194496295,11585.811419525997
125,4.925369501115,52.355718612649994,2,12512.458333333332,123873.3375,4.950000000000001,485.6406112244189,17559.04270972657
126,4.86828517914,52.3755149841,1,58257.791666666664,576752.1375000001,9.900000000000002,399.2759694686601,11591.824071141013
127,4.871963024139999,52.38338088985,2,10948.20942982456,72623.54035087721,8.150000000000004,474.2332185284676,16190.731638112426
128,4.9209151268,52.3506317139,1,7405.458333333332,73314.0375,9.900000000000002,399.12368044522174,11585.29748272156
129,4.85411691666,52.3647727966,1,104794.58333333333,1037466.3749999999,9.900000000000002,399.2101967747177,11589.005352053537
130,4.96341514587,52.323551178,1,55746.62499999999,551891.5875000001,9.900000000000004,398.95821251862833,11578.205403861894
131,4.86890077591,52.3657341003,1,53165.583333333336,526339.2750000001,9.900000000000002,399.21608088576585,11589.257522936909
132,4.88237476349,52.3260612488,1,105216.29166666667,1041641.2875000001,9.900000000000002,398.9735378342796,11578.862288422
133,4.8779668808,52.3369598389,1,0.0,0.0,0.0,399.04010737175,11581.71556796885
134,4.87444877625,52.3656578064,1,36001.541666666664,356415.2625,9.900000000000002,399.2156138793321,11589.237508847593
135,4.8532037735,52.3711967468,1,108083.66666666669,1070028.2999999998,9.900000000000002,399.2495242895495,11590.690764407518
136,4.9405012130733335,52.35396830243334,3,85928.50302185482,787130.8539378835,7.568244189387883,591.3501980431679,23105.470137659577
137,4.782997369765,52.35220909115,2,20790.82056994071,176606.49606158413,8.152366284081825,425.4966367852628,13524.673759495565
138,4.94099378586,52.3730163574,1,37713.74999999999,373366.12499999994,9.900000000000002,399.2606668385026,11591.16827997628
139,4.9369025230400005,52.3508415222,2,38425.49999999999,380412.45,4.950000000000001,522.3369927068185,17359.421545154062
140,4.88673877716,52.3491439819,1,7620.450568852051,75584.81279509686,9.908211685704998,399.1145828180088,11584.907570234978
141,4.87298202515,52.3839378357,1,60387.99999999999,597841.2000000001,9.900000000000002,399.32757212243325,11594.03544754524
142,4.923969984055,52.35560417175,2,63150.708333333336,625192.0125000001,4.950000000000001,463.3495484916171,14706.396841684042
143,4.86320400238,52.3448600769,1,0.0,0.0,0.0,399.0883910343106,11583.78501231988
144,4.87610721588,52.3490638733,1,12343.156249999998,122197.246875,9.900000000000002,399.1140929679063,11584.88657583708
145,4.92268610001,52.3575248718,1,60426.458333333336,598221.9375000001,9.900000000000002,399.1658438187888,11587.10452189723
146,4.86184310913,52.3371238708,1,0.0,0.0,0.0,399.0411096392679,11581.7585258754
147,4.89065790176,52.3817749023,1,10519.343749999998,104141.503125,9.900000000000004,399.3143183065316,11593.467476106209
