charger_id,longitude,latitude,site_id,total_duration,total_volume,avg_power
1009479555,4.87364339828,52.344871521,584,5702.499999999999,36496.0,6.400000000000004
1004883375,4.91079378128,52.3524398804,585,0.0,0.0,0.0
1004905935,4.91053199768,52.3527297974,585,741.7902476652473,4658.657585057585,6.595656622161831
1004883385,4.87761116028,52.3833503723,586,0.0,0.0,0.0
1004883395,4.8863658905,52.3785171509,587,5280.541666666666,33795.466666666674,6.400000000000004
1004902145,4.88620281219,52.3788490295,587,5523.499999999999,35350.4,6.400000000000005
1004921475,4.88662290573,52.3783149719,587,0.0,0.0,0.0
1004883405,4.88730621338,52.4240112305,588,0.0,0.0,0.0
1004883435,4.92646503448,52.3638381958,589,0.0,0.0,0.0
1004884805,4.92652893066,52.3638572693,589,0.0,0.0,0.0
1004883465,4.87102413177,52.3746757507,590,0.0,0.0,0.0
1007210045,4.87131214142,52.3747787476,590,0.0,0.0,0.0
1004883475,4.86807012558,52.3750915527,591,0.0,0.0,0.0
1004883495,4.7760181427,52.3555145264,592,8389.113003478544,53829.591153608664,6.404732568163645
1004883515,4.83595895767,52.3656654358,593,9811.056685042942,62790.76278427483,6.400000000000001
1004883525,4.89995288849,52.3507881165,594,5106.833333333333,32683.73333333334,6.400000000000005
1004892825,4.90001916885,52.3512077332,594,5397.781609195401,34545.80229885058,6.400000000000004
1004883545,4.98921489716,52.3599853516,595,8389.113003478544,53829.591153608664,6.404732568163645
1009301865,4.98925304413,52.3600540161,595,0.0,0.0,0.0
1009563895,4.98929977417,52.3600387573,595,151653.33333333326,970581.333333333,6.400000000000001
1004883555,4.99329090118,52.3588905334,596,0.0,0.0,0.0
1004883565,4.90788078308,52.3511390686,597,0.0,0.0,0.0
1004883575,4.88145494461,52.3536224365,598,9162.296369871694,58502.90068874747,6.411320050367562
1004883585,4.8875207901,52.3797874451,599,539.3293333333331,3469.0410666666667,6.553417374087704
1004883605,4.87336492538,52.3343429565,600,8389.113003478544,53829.591153608664,6.404732568163645
1009486395,4.87336492538,52.3343429565,600,8389.113003478544,53829.591153608664,6.404732568163645
1004883635,4.83486890793,52.3699684143,601,0.0,0.0,0.0
1004883645,4.87956476212,52.3732299805,602,0.0,0.0,0.0
1004883655,4.93819093704,52.3389167786,603,0.0,0.0,0.0
1004883665,4.88643884659,52.3761978149,604,5508.666666666666,35255.466666666674,6.400000000000004
1004883695,4.9204249382,52.3574295044,605,5493.083333333332,35155.73333333334,6.400000000000004
1004887055,4.92033290863,52.3574066162,605,0.0,0.0,0.0
1004883705,4.96442508698,52.325050354,606,0.0,0.0,0.0
1006263295,4.96447277069,52.324760437,606,0.0,0.0,0.0
1004883715,4.91856479645,52.3540878296,607,5151.499999999999,32969.600000000006,6.400000000000004
1004883735,4.97690010071,52.3229293823,608,0.0,0.0,0.0
1004904225,4.97686004639,52.322971344,608,11168.091397849461,71475.78494623658,6.400000000000002
1004883755,4.87133407593,52.343082428,609,9811.056685042942,62790.76278427483,6.400000000000001
1009498725,4.87133407593,52.343082428,609,5091.541666666666,32585.866666666676,6.400000000000004
1004883785,4.88904380798,52.383808136,610,5565.374999999999,35618.40000000001,6.400000000000005
1004890025,4.88907194138,52.3839187622,610,0.0,0.0,0.0
1004883815,4.8609957695,52.3436470032,611,11182.205882352939,71566.11764705884,6.400000000000003
1004919555,4.86115503311,52.3438415527,611,11063.888480392156,70808.88627450983,6.400000000000004
1009752145,4.86099004745,52.3434791565,611,0.0,0.0,0.0
1004883825,4.82880020142,52.3810272217,612,16778.226006957088,107659.18230721733,6.404732568163645
1004883835,4.85033512115,52.3781890869,613,0.0,0.0,0.0
1008940385,4.85040712357,52.3781814575,613,0.0,0.0,0.0
1004883855,4.89042615891,52.4114456177,614,682.083333333333,4365.333333333333,6.627018779722064
1004883865,4.90733385086,52.358543396,615,8389.113003478544,53829.591153608664,6.404732568163645
1004886425,4.90747022629,52.3580169678,615,9811.056685042942,62790.76278427483,6.400000000000001
1004892515,4.90730714798,52.3582992554,615,9811.056685042942,62790.76278427483,6.400000000000001
1004883875,4.86843490601,52.3820495605,616,0.0,0.0,0.0
1004883885,4.95152902603,52.3943748474,617,0.0,0.0,0.0
1004883895,4.82214021683,52.3590812683,618,16778.226006957088,107659.18230721733,6.404732568163645
1004883925,4.886645793914999,52.4227256775,619,0.0,0.0,0.0
1004883935,4.85773420334,52.3644638062,620,5135.958333333332,32870.13333333334,6.400000000000004
1004900845,4.85788393021,52.364074707,620,0.0,0.0,0.0
1004914105,4.85732698441,52.3645782471,620,0.0,0.0,0.0
1004883955,4.85760784149,52.3304977417,621,0.0,0.0,0.0
1004883965,4.91246509552,52.3617515564,622,0.0,0.0,0.0
1004893125,4.91238117218,52.3618583679,622,0.0,0.0,0.0
1004883985,4.86866092682,52.3540878296,623,0.0,0.0,0.0
1004883995,4.83791685104,52.36195755,624,8389.113003478544,53829.591153608664,6.404732568163645
1004891645,4.83792114258,52.3617973328,624,9811.056685042942,62790.76278427483,6.400000000000001
1004884005,4.87970018387,52.3490524292,625,0.0,0.0,0.0
1004884015,4.8698348999,52.3501281738,626,5487.499999999998,35120.00000000001,6.400000000000003
1004884025,4.88685512543,52.3887672424,627,0.0,0.0,0.0
1004894875,4.88693380356,52.3887825012,627,11258.916666666664,72057.0666666667,6.400000000000003
1004884035,4.84926891327,52.3911018372,628,0.0,0.0,0.0
1004884055,4.94611215591,52.3437232971,629,9067.209533258694,57884.74493442428,6.410101938885528
1009492455,4.94611215591,52.3437232971,629,9811.056685042942,62790.76278427483,6.400000000000001
1004884065,4.90772294998,52.3963050842,630,0.0,0.0,0.0
1004884075,4.90719509125,52.3531532288,631,11251.0,72006.40000000002,6.400000000000005
1004884085,4.87701320648,52.3663978577,632,0.0,0.0,0.0
1004899615,4.87675046921,52.366607666,632,0.0,0.0,0.0
1008116945,4.8767209053,52.366607666,632,4688.583333333332,30006.933333333334,6.400000000000005
1004884095,4.88337802887,52.3553886414,633,16778.226006957088,107659.18230721733,6.404732568163645
1004888955,4.88348007202,52.3557319641,633,8389.113003478544,53829.591153608664,6.404732568163645
1004884105,4.87589120865,52.3306808472,634,0.0,0.0,0.0
1009751605,4.87599992752,52.330581665,634,151653.33333333326,970581.333333333,6.400000000000001
1004884135,4.89557504654,52.3471488953,635,0.0,0.0,0.0
