charger_id,longitude,latitude,site,total_duration,total_volume,avg_power
102973,114.142569,22.547743,0,25034.766783445644,175243.36748411955,7.0
102977,114.14276,22.54804,0,17519.805891417735,122638.64123992412,7.0
151315,114.142569,22.547743,0,25550.0,178850.0000000001,7.000000000000001
162919,114.142704,22.547473,0,9490.000000000002,66429.99999999999,7.0
102974,114.119416,22.541244,1,9882.749999999998,69179.25,7.0
102976,114.105663,22.539278,2,0.0,0.0,0.0
102978,114.109352,22.540594,3,5726.624999999998,40147.916666666664,7.003538755224323
102980,114.11661,22.579,4,100576.91666666667,704038.4166666666,7.0
102981,114.114493,22.543569,5,32646.83333333333,228527.83333333328,7.0
102982,114.01892,22.540155,6,15534.105769230768,108738.74038461539,7.0
102983,114.032022,22.530696,7,109830.29166666667,768812.0416666666,7.0
102986,114.031901,22.531023,7,63699.24999999999,445894.75,7.0
102987,114.064676,22.54205,8,19800.249999999996,138601.75,7.0
102988,114.061747,22.534352,9,35003.24999999999,265117.5,7.608100089941281
102989,114.06504,22.542691,10,23977.666666666668,167843.66666666666,7.0
102990,114.059874,22.546939,11,20875.083333333332,146125.58333333328,7.0
102995,113.951133,22.557102,12,20905.926220908663,146341.48354636066,7.0
102996,113.950235,22.520467,13,162762.83218762552,1139339.8253133786,7.0
112001,113.950235,22.520467,13,35770.000000000015,250389.99999999997,7.0
102999,113.925543,22.514911,14,99696.41666666664,1498612.1666666665,15.150786241970284
103000,113.966607,22.538899,15,0.0,0.0,0.0
103002,113.921492,22.516192,16,61518.50000000001,771471.6666666666,12.921353024785132
103003,113.915138,22.478934,17,12023.08333333333,84161.58333333333,7.0
103004,113.941143,22.526476,18,1459.999999999999,10219.999999999998,7.000000000000001
103023,113.941112,22.526563,18,24298.107506464123,170364.4192119155,7.004900826250047
103005,114.000504,22.59265,19,63074.75,441523.24999999994,7.0
103006,113.991005,22.588745,20,169079.04107756502,1183553.2875429553,7.0
119605,113.991005,22.588745,20,107310.0,751170.0000000001,7.000000000000001
103007,113.925598,22.511655,21,89375.08333333333,625625.5833333333,7.0
103008,113.935285,22.545938,22,11989.340407665055,83925.38285365539,7.0
103009,113.9337,22.543519,23,16446.416666666664,115124.91666666666,7.0
103012,113.920728,22.554594,24,68845.75,481920.25,7.0
103013,113.993017,22.588465,25,56185.458333333336,529002.4999999999,9.938461018705482
103014,113.953522,22.53707,26,103743.83333333331,726206.8333333334,7.0
103015,113.95116,22.539155,27,28373.375,198613.625,7.0
103016,113.929574,22.520275,28,15613.33333333333,109293.33333333333,7.0
103017,113.953061,22.536144,29,16768.625,117380.37499999999,7.0
103018,113.953506,22.581056,30,30533.583333333332,213735.0833333333,7.0
103019,113.947256,22.546191,31,84583.75,592086.25,7.0
103020,113.938953,22.506216,32,12587.20833333333,88110.45833333333,7.0
103021,113.913198,22.492013,33,17316.999999999996,121218.99999999999,7.0
103022,113.922874,22.537369,34,6548.916666666664,45905.70833333333,7.002351774689669
103029,113.834711,22.641907,35,184698.16666666666,1292887.1666666667,7.0
103030,113.816864,22.732245,36,41478.708333333336,391019.5,9.431580439005852
103032,113.816985,22.733921,37,143457.4327132289,1138465.1608121395,7.985273227516695
103033,113.864174,22.625239,38,220800.16666666666,2297557.666666667,10.38510345891729
103034,114.04726,22.7296,39,56896.33333333333,398274.33333333326,7.0
103064,114.04726,22.7296,39,0.0,0.0,0.0
164440,114.04726,22.7296,39,0.0,0.0,0.0
103035,113.899904,22.717609,40,24974.291666666664,351874.5833333333,14.123815635152464
103036,114.031654,22.641304,41,7907.041666666664,58064.458333333336,7.618589890905501
103039,113.790987,22.731351,42,27913.666666666664,195395.66666666666,7.0
103041,114.004064,22.635491,43,61494.99999999999,595886.8333333334,10.074996412827359
103042,113.829771,22.722116,44,5715.374999999998,40015.20833333333,7.000352672169902
137093,113.829771,22.722116,44,372299.99999999994,2606099.9999999995,7.0
103043,113.886492,22.5875,45,38938.20833333333,272567.4583333333,7.0
103047,113.998477,22.698506,46,26144.08333333333,3921612.5,150.0
103049,113.84918,22.57424,47,22640.444826007326,158483.11378205128,7.0
103051,114.030658,22.602767,48,30832.875,215830.12499999997,7.0
103052,113.838491,22.605773,49,182930.91280864194,1280516.389660494,7.0
